Year,Active barren land,Elevation,Precipitation
2000,3576.31 Ha,2927.24 m,1694.13 mm
2002,4604.01 Ha,1359.39 m,1618.35 mm
2004,3624.99 Ha,1692.36 m,1711.47 mm
2006,12678.30 Ha,2047.75 m,1542.62 mm
2008,4837.33 Ha,2190.44 m,1529.34 mm
2010,5496.30 Ha,2340.30 m,1718.07 mm
2012,3849.71 Ha,1501.50 m,1535.78 mm
2014,4674.44 Ha,1811.64 m,1668.46 mm
2015,927.05 Ha,1201.55 m,1558.56 mm
2016,3314.68 Ha,2660.53 m,1677.76 mm
2018,5904.26 Ha,2322.04 m,1519.02 mm
2020,1695.98 Ha,2957.33 m,1617.35 mm
2022,996.83 Ha,2586.51 m,1647.86 mm
2024,2425.62 Ha,3213.84 m,1587.51 mm
